,date,account_value
399,2020-08-03,1151478.2629245715
400,2020-08-04,1153058.6506689324
401,2020-08-05,1177501.938364181
402,2020-08-06,1181355.2485439226
403,2020-08-07,1177635.4455140862
404,2020-08-10,1191314.3709709127
405,2020-08-11,1183516.2098843919
406,2020-08-12,1194499.6484324858
407,2020-08-13,1189536.8420188623
408,2020-08-14,1194277.0790308043
409,2020-08-17,1185131.4149537573
410,2020-08-18,1185299.6558550568
411,2020-08-19,1181981.8499721263
412,2020-08-20,1187417.4524205462
413,2020-08-21,1185662.2729779284
414,2020-08-24,1199043.743494219
415,2020-08-25,1198690.418755431
416,2020-08-26,1200969.1059485567
417,2020-08-27,1213255.3321960052
418,2020-08-28,1228321.5693228066
419,2020-08-31,1213776.3060528825
420,2020-09-01,1221569.0285909742
421,2020-09-02,1240958.3696024434
422,2020-09-03,1197315.2851395765
423,2020-09-04,1187981.9254325377
424,2020-09-08,1152657.20667219
425,2020-09-09,1177259.2259089896
426,2020-09-10,1152983.1223967022
427,2020-09-11,1155283.0610469813
428,2020-09-14,1166324.591602477
429,2020-09-15,1170021.083993973
430,2020-09-16,1168344.7064240733
431,2020-09-17,1157796.7645841308
432,2020-09-18,1146483.4147182258
433,2020-09-21,1137238.0543193924
434,2020-09-22,1147460.6354205834
435,2020-09-23,1142735.0096453377
436,2020-09-24,1144314.9741342722
437,2020-09-25,1163763.320726588
438,2020-09-28,1172155.7697452938
439,2020-09-29,1165761.4884798147
440,2020-09-30,1177871.1102597106
441,2020-10-01,1179739.8501685632
442,2020-10-02,1162917.684276221
443,2020-10-05,1184457.0913398024
444,2020-10-06,1168175.4557541288
445,2020-10-07,1189709.0269100247
446,2020-10-08,1200463.849029075
447,2020-10-09,1216624.4296478461
448,2020-10-12,1230039.4607011192
449,2020-10-13,1230887.8057038954
450,2020-10-14,1216649.7884511696
451,2020-10-15,1219352.5657125912
452,2020-10-16,1218539.7946444787
453,2020-10-19,1195720.1767278393
454,2020-10-20,1200538.4416199748
455,2020-10-21,1199005.4614695844
456,2020-10-22,1211785.4158154032
457,2020-10-23,1213418.6289648553
458,2020-10-26,1186190.522899935
459,2020-10-27,1189159.4855365558
460,2020-10-28,1135432.187572902
461,2020-10-29,1148873.981851626
462,2020-10-30,1135059.2724711106
463,2020-11-02,1151341.1598273609
464,2020-11-03,1168353.966215929
465,2020-11-04,1218844.781371186
466,2020-11-05,1239912.1227669946
467,2020-11-06,1232294.574351729
468,2020-11-09,1247417.6037037463
469,2020-11-10,1235692.9197938258
470,2020-11-11,1244628.4835482354
471,2020-11-12,1232882.5148499573
472,2020-11-13,1245708.4363567596
473,2020-11-16,1266417.474372601
474,2020-11-17,1264776.0697129737
475,2020-11-18,1242232.0653708808
476,2020-11-19,1242451.3920681514
477,2020-11-20,1235436.6631512584
478,2020-11-23,1253775.68014804
479,2020-11-24,1281901.3395975563
480,2020-11-25,1274177.6609218263
481,2020-11-27,1273549.1856023264
482,2020-11-30,1257440.059849911
